Processing /home/gridsan/akolodziej/TED/ted_365m.domain_summary.cath.globularity.taxid.tsv
Output will be written to outputs/nested_domain_pairs_validations.tsv
Processed 2230000 lines, found 1970 nested pairs, skipped 428326 low quality
Processed 2240000 lines, found 1976 nested pairs, skipped 430317 low quality
Processed 2250000 lines, found 1993 nested pairs, skipped 432339 low quality
Processed 2260000 lines, found 1997 nested pairs, skipped 434212 low quality
Processed 2270000 lines, found 2018 nested pairs, skipped 436248 low quality
Processed 2280000 lines, found 2033 nested pairs, skipped 437940 low quality
Processed 2290000 lines, found 2039 nested pairs, skipped 439587 low quality
Processed 2300000 lines, found 2046 nested pairs, skipped 441475 low quality
Processed 2310000 lines, found 2069 nested pairs, skipped 443596 low quality
Processed 2320000 lines, found 2088 nested pairs, skipped 445724 low quality
Processed 2330000 lines, found 2106 nested pairs, skipped 447721 low quality
Processed 2340000 lines, found 2119 nested pairs, skipped 449885 low quality
Processed 2350000 lines, found 2130 nested pairs, skipped 452058 low quality
Processed 2360000 lines, found 2160 nested pairs, skipped 454158 low quality
Processed 2370000 lines, found 2171 nested pairs, skipped 455632 low quality
Processed 2380000 lines, found 2173 nested pairs, skipped 457235 low quality
Processed 2390000 lines, found 2174 nested pairs, skipped 459164 low quality
Processed 2400000 lines, found 2175 nested pairs, skipped 461079 low quality
Processed 2410000 lines, found 2175 nested pairs, skipped 463128 low quality
Processed 2420000 lines, found 2183 nested pairs, skipped 465025 low quality
Processed 2430000 lines, found 2191 nested pairs, skipped 466918 low quality
Processed 2440000 lines, found 2192 nested pairs, skipped 468327 low quality
Processed 2450000 lines, found 2195 nested pairs, skipped 469909 low quality
Processed 2460000 lines, found 2198 nested pairs, skipped 471640 low quality
Processed 2470000 lines, found 2199 nested pairs, skipped 473301 low quality
Processed 2480000 lines, found 2201 nested pairs, skipped 475131 low quality
Processed 2490000 lines, found 2205 nested pairs, skipped 477004 low quality
Processed 2500000 lines, found 2205 nested pairs, skipped 478885 low quality
Processed 2510000 lines, found 2205 nested pairs, skipped 480889 low quality
Processed 2520000 lines, found 2206 nested pairs, skipped 482962 low quality
Processed 2530000 lines, found 2206 nested pairs, skipped 484968 low quality
Processed 2540000 lines, found 2206 nested pairs, skipped 486824 low quality
Processed 2550000 lines, found 2206 nested pairs, skipped 488778 low quality
Processed 2560000 lines, found 2206 nested pairs, skipped 490806 low quality
Processed 2570000 lines, found 2207 nested pairs, skipped 492843 low quality
Processed 2580000 lines, found 2213 nested pairs, skipped 494590 low quality
Processed 2590000 lines, found 2214 nested pairs, skipped 496061 low quality
Processed 2600000 lines, found 2214 nested pairs, skipped 497735 low quality
Processed 2610000 lines, found 2215 nested pairs, skipped 499376 low quality
Processed 2620000 lines, found 2218 nested pairs, skipped 501041 low quality
Processed 2630000 lines, found 2219 nested pairs, skipped 502286 low quality
Processed 2640000 lines, found 2220 nested pairs, skipped 503904 low quality
Processed 2650000 lines, found 2222 nested pairs, skipped 505666 low quality
Processed 2660000 lines, found 2225 nested pairs, skipped 507581 low quality
Processed 2670000 lines, found 2226 nested pairs, skipped 509134 low quality
Processed 2680000 lines, found 2226 nested pairs, skipped 510370 low quality
Processed 2690000 lines, found 2226 nested pairs, skipped 511751 low quality
Processed 2700000 lines, found 2227 nested pairs, skipped 513432 low quality
Processed 2710000 lines, found 2250 nested pairs, skipped 515635 low quality
Processed 2720000 lines, found 2258 nested pairs, skipped 517713 low quality
Processed 2730000 lines, found 2273 nested pairs, skipped 519946 low quality
Processed 2740000 lines, found 2282 nested pairs, skipped 522190 low quality
Processed 2750000 lines, found 2282 nested pairs, skipped 524097 low quality
Processed 2760000 lines, found 2290 nested pairs, skipped 525913 low quality
Processed 2770000 lines, found 2296 nested pairs, skipped 527814 low quality
Processed 2780000 lines, found 2304 nested pairs, skipped 529787 low quality
Processed 2790000 lines, found 2319 nested pairs, skipped 531743 low quality
Processed 2800000 lines, found 2326 nested pairs, skipped 533681 low quality
Processed 2810000 lines, found 2328 nested pairs, skipped 535454 low quality
Processed 2820000 lines, found 2352 nested pairs, skipped 537759 low quality
Processed 2830000 lines, found 2376 nested pairs, skipped 540098 low quality
Processed 2840000 lines, found 2376 nested pairs, skipped 542217 low quality
Processed 2850000 lines, found 2377 nested pairs, skipped 544346 low quality
Processed 2860000 lines, found 2377 nested pairs, skipped 546481 low quality
Processed 2870000 lines, found 2377 nested pairs, skipped 548560 low quality
Processed 2880000 lines, found 2382 nested pairs, skipped 550451 low quality
Processed 2890000 lines, found 2384 nested pairs, skipped 552335 low quality
Processed 2900000 lines, found 2390 nested pairs, skipped 554208 low quality
Processed 2910000 lines, found 2398 nested pairs, skipped 556111 low quality
Processed 2920000 lines, found 2415 nested pairs, skipped 557962 low quality
Processed 2930000 lines, found 2420 nested pairs, skipped 559779 low quality
Processed 2940000 lines, found 2426 nested pairs, skipped 561599 low quality
