Starting TSV processing...
Reading TSV file: outputs/uniref50_nested_domain_pairs.tsv
Dataset shape: (129170, 7)
Columns: ['uniprot_id', 'parent_ted', 'parent_boundaries', 'parent_cath', 'insert_ted', 'insert_boundaries', 'insert_cath']
Found 467 unique insert_cath values
Insert CATH: 2.60.40.1250 -> 1 unique parent CATHs
Insert CATH: 2.60.290.11 -> 1 unique parent CATHs
Insert CATH: 3.90.830.10 -> 1 unique parent CATHs
Insert CATH: 3.40.309.10 -> 1 unique parent CATHs
Insert CATH: 3.40.50.450 -> 1 unique parent CATHs
Insert CATH: 3.10.310.30 -> 1 unique parent CATHs
Insert CATH: 1.10.150.170 -> 1 unique parent CATHs
Insert CATH: 3.40.50.10140 -> 1 unique parent CATHs
Insert CATH: 1.10.287.110 -> 1 unique parent CATHs
Insert CATH: 1.20.80.10 -> 1 unique parent CATHs
Insert CATH: 2.60.120.920 -> 1 unique parent CATHs
Insert CATH: 1.20.120.350 -> 1 unique parent CATHs
Insert CATH: 1.10.238.70 -> 1 unique parent CATHs
Insert CATH: 2.40.10.240 -> 1 unique parent CATHs
Insert CATH: 3.30.70.1120 -> 1 unique parent CATHs
Insert CATH: 3.10.20.370 -> 1 unique parent CATHs
Insert CATH: 3.50.4.10 -> 2 unique parent CATHs
Insert CATH: 1.10.720.170 -> 1 unique parent CATHs
Insert CATH: 3.10.450.30 -> 1 unique parent CATHs
Insert CATH: 2.30.30.490 -> 1 unique parent CATHs
Insert CATH: 1.20.58.90 -> 1 unique parent CATHs
Insert CATH: 1.20.1440.240 -> 2 unique parent CATHs
Insert CATH: 2.60.120.940 -> 2 unique parent CATHs
Insert CATH: 2.60.40.1220 -> 2 unique parent CATHs
Insert CATH: 3.30.9.40 -> 1 unique parent CATHs
Insert CATH: 3.30.70.1290 -> 1 unique parent CATHs
Insert CATH: 3.30.9.100 -> 1 unique parent CATHs
Insert CATH: 2.30.30.940 -> 2 unique parent CATHs
Insert CATH: 3.40.190.270 -> 1 unique parent CATHs
Insert CATH: 1.10.167.10 -> 1 unique parent CATHs
Insert CATH: 3.40.50.360 -> 1 unique parent CATHs
Insert CATH: 1.10.132.60 -> 1 unique parent CATHs
Insert CATH: 1.20.1640.10 -> 2 unique parent CATHs
Insert CATH: 2.60.120.1290 -> 1 unique parent CATHs
Insert CATH: 3.90.1440.10 -> 1 unique parent CATHs
Insert CATH: 2.40.10.120 -> 1 unique parent CATHs
Insert CATH: 2.60.200.30 -> 1 unique parent CATHs
Insert CATH: 3.90.1760.10 -> 1 unique parent CATHs
Insert CATH: 3.30.470.30 -> 1 unique parent CATHs
Insert CATH: 1.10.472.10 -> 1 unique parent CATHs
Insert CATH: 2.60.40.1210 -> 1 unique parent CATHs
Insert CATH: 1.10.1660.10 -> 1 unique parent CATHs
Insert CATH: 2.110.10.10 -> 2 unique parent CATHs
Insert CATH: 2.40.128.430 -> 1 unique parent CATHs
Insert CATH: 3.30.70.2250 -> 2 unique parent CATHs
Insert CATH: 3.50.30.90 -> 1 unique parent CATHs
Insert CATH: 3.40.50.10750 -> 1 unique parent CATHs
Insert CATH: 3.30.1380.20 -> 1 unique parent CATHs
Insert CATH: 2.170.130.30 -> 1 unique parent CATHs
Insert CATH: 1.10.10.2330 -> 1 unique parent CATHs
Insert CATH: 1.20.1270.60 -> 1 unique parent CATHs
Insert CATH: 3.40.50.880 -> 2 unique parent CATHs
Insert CATH: 3.40.1350.10 -> 1 unique parent CATHs
Insert CATH: 2.40.30.290 -> 1 unique parent CATHs
Insert CATH: 1.10.260.160 -> 1 unique parent CATHs
Insert CATH: 3.30.70.2820 -> 1 unique parent CATHs
Insert CATH: 2.70.40.10 -> 1 unique parent CATHs
Insert CATH: 1.10.240.10 -> 1 unique parent CATHs
Insert CATH: 3.55.50.10 -> 1 unique parent CATHs
Insert CATH: 1.20.1440.340 -> 1 unique parent CATHs
Insert CATH: 1.10.10.1210 -> 1 unique parent CATHs
Insert CATH: 3.10.250.10 -> 2 unique parent CATHs
Insert CATH: 1.20.1320.30 -> 1 unique parent CATHs
Insert CATH: 3.30.310.10 -> 1 unique parent CATHs
Insert CATH: 2.40.128.270 -> 1 unique parent CATHs
Insert CATH: 2.30.220.10 -> 2 unique parent CATHs
Insert CATH: 1.20.1050.80 -> 1 unique parent CATHs
Insert CATH: 1.10.418.50 -> 1 unique parent CATHs
Insert CATH: 3.20.20.140 -> 1 unique parent CATHs
Insert CATH: 2.170.260.50 -> 1 unique parent CATHs
Insert CATH: 3.30.1490.120 -> 1 unique parent CATHs
Insert CATH: 3.40.20.10 -> 2 unique parent CATHs
Insert CATH: 3.40.462.20 -> 1 unique parent CATHs
Insert CATH: 1.10.1380.10 -> 1 unique parent CATHs
Insert CATH: 3.30.1490.100 -> 1 unique parent CATHs
Insert CATH: 2.60.120.290 -> 2 unique parent CATHs
Insert CATH: 3.30.390.30 -> 1 unique parent CATHs
Insert CATH: 1.10.472.90 -> 1 unique parent CATHs
Insert CATH: 2.40.40.10 -> 1 unique parent CATHs
Insert CATH: 3.40.50.1010 -> 1 unique parent CATHs
Insert CATH: 2.30.120.10 -> 1 unique parent CATHs
Insert CATH: 1.10.300.10 -> 1 unique parent CATHs
Insert CATH: 1.10.1870.10 -> 1 unique parent CATHs
Insert CATH: 3.30.9.20 -> 1 unique parent CATHs
Insert CATH: 1.20.140.40 -> 1 unique parent CATHs
Insert CATH: 3.40.50.1390 -> 1 unique parent CATHs
Insert CATH: 1.10.530.10 -> 1 unique parent CATHs
Insert CATH: 2.130.10.10 -> 2 unique parent CATHs
Insert CATH: 1.10.1470.20 -> 1 unique parent CATHs
Insert CATH: 1.10.260.130 -> 1 unique parent CATHs
Insert CATH: 3.40.1710.10 -> 1 unique parent CATHs
Insert CATH: 3.30.40.230 -> 1 unique parent CATHs
Insert CATH: 2.60.40.3450 -> 1 unique parent CATHs
Insert CATH: 3.10.129.120 -> 1 unique parent CATHs
Insert CATH: 3.30.1490.180 -> 1 unique parent CATHs
Insert CATH: 1.10.1500.10 -> 1 unique parent CATHs
Insert CATH: 2.40.110.10 -> 1 unique parent CATHs
Insert CATH: 3.10.180.10 -> 1 unique parent CATHs
Insert CATH: 3.30.70.3500 -> 1 unique parent CATHs
Insert CATH: 2.60.40.1400 -> 1 unique parent CATHs
Insert CATH: 1.20.120.720 -> 1 unique parent CATHs
Insert CATH: 2.60.210.10 -> 1 unique parent CATHs
